variant,temperature-iterations,useful,applicable
"
(d, i) = ({}, 0)
unique_array = set(array)
for val in unique_array:
    d[val] = []
    for j in array:
        if j == val:
            d[val].append(function(j))
            i += 1","[(0.9, 90)]",False,
"import itertools
array_length = len(array)
d = {}
for (i, element) in enumerate(array):
    if element not in d:
        d[element] = []
    d[element].append(function(element))","[(1.2, 84)]",False,
"
d = {}
for i in array:
    if i not in d:
        d[i] = []
    d.get(i, []).append(function(i))","[(0.3, 17)]",True,
"
d = {}
for i in array:
    if i not in d.keys():
        d[i] = []
    d.get(i).append(function(i))","[(0.3, 2), (0.5, 46), (0.7, 4), (0, 7)]",True,
"from collections import defaultdict
d = defaultdict(list)
for (i, element) in enumerate(array):
    d[element].append(function(element))","[(1.2, 33)]",True,
"
d = {}
for i in set(array):
    for j in array:
        if j == i:
            if i in d:
                d[i].extend([function(j)])
            else:
                d[i] = [function(j)]","[(1.2, 63)]",True,
"
d = {}
for i in array:
    if i not in d:
        d[i] = []
    if i in array:
        d[i].append(function(i))","[(0.7, 15)]",True,
"
d = {i: [] for i in array}
for i in array:
    if i in d:
        d[i].append(function(i))
    else:
        d[i] = function(i)","[(0.7, 29)]",False,
"
d = {i: [] for i in array}
for i in array:
    if i not in d.keys():
        d[i] = []
    d[i].extend([function(i)])","[(0.3, 28)]",False,
"
d = {}
for i in array:
    if i not in d:
        d[i] = []
    if type(d[i]) != list:
        if d[i] != None:
            d[i] = [d[i]]
    else:
        d[i].append(function(i))","[(0.9, 42)]",False,
"
d = {}
for i in array:
    if d.get(i):
        d[i].insert(0, function(i))
    else:
        d[i] = [function(i)]
    d[i] = d[i][::-1]","[(0.9, 49)]",False,
"import itertools
unique_array = list(set(array))
d = dict(((i, []) for i in unique_array))
for i in array:
    d[i].append(function(i))","[(0.9, 83)]",True,
"
d = {i: [] for i in array}
for i in array:
    d[i] = d.get(i, [])
    d[i].append(function(i))","[(0.3, 28)]",False,
"
d = {}
for i in array:
    if i not in d:
        d[i] = []
    d[i].insert(len(d[i]), function(i))
    d[i].sort(reverse=True)
    d[i].reverse()
    d[i].sort(reverse=True)
    d[i].reverse()","[(0.3, 35)]",False,
"import numpy as np
array = list(array)
d = {}
for i in array:
    if i not in d:
        d[i] = []
    d[i].append(function(i))
    d[i].sort()
sorted_d = dict(sorted(d.items(), key=lambda item: item[0], reverse=True))","[(0, 87)]",False,
"
d = dict()
for i in array:
    if i not in d:
        d[i] = []
    if not isinstance(d[i], list):
        d[i] = [d[i]]
    d[i].append(function(i))","[(0.9, 41)]",False,
"
d = {}
for i in array:
    if i not in d:
        d[i] = []
    d[i].insert(len(d[i]), function(i))","[(0.3, 35), (0.5, 17), (0, 22)]",True,
"
d = {}
i = 0
for item in array:
    if item not in d:
        d[item] = []
    d[item].append(function(item))
    i += 1","[(1.2, 91)]",False,
"import numpy as np
result_dict = {}
for i in array:
    result_dict[i] = result_dict.get(i, []) + [function(i)]
d = result_dict
i = array","[(0.5, 22)]",False,
"
d = {}
for i in array:
    if d.get(i):
        d[i].insert(0, function(i))
    else:
        d[i] = [function(i)]
    d[i].reverse()","[(0.9, 49)]",False,
"
d = {}
for i in array:
    if i not in d:
        d[i] = []
    d[i].insert(0, function(i))
    d[i] = d[i][::-1]","[(0.5, 61)]",False,
"
d = {}
for i in array:
    if i not in d.keys():
        d[i] = []
    if isinstance(d[i], list):
        d[i].append(function(i))","[(0.9, 9)]",True,
"
d = {}
for i in array:
    if i not in d:
        d[i] = []
    d[i].insert(0, function(i))
    d[i].sort(reverse=True)","[(0.3, 35)]",False,
"import collections
d = collections.defaultdict(list)
for i in array:
    d[i].append(function(i))","[(0.9, 6), (0.3, 2), (0.5, 2), (1.2, 1), (0.7, 4), (0, 22)]",True,
"
d = {}
for i in array:
    if i not in d:
        d[i] = []
    d[i].insert(len(d[i]), function(i))
    d[i].sort()
    d[i].reverse()","[(0.3, 35)]",False,
"import numpy as np
d = {}
for i in array:
    if i not in d:
        d[i] = []
    d[i].append(function(i))
    d[i].sort(reverse=True)
array = np.array(array)
d","[(0, 50)]",False,
"import numpy as np
d = {i: [] for i in array}
for i in array:
    d[i].append(function(i))","[(0.9, 8)]",True,
"
d = {}

def append_to_dict(d, i, value):
    if i not in d:
        d[i] = []
    d[i].append(value)
d = {}
for i in array:
    append_to_dict(d, i, function(i))","[(1.2, 32)]",True,
"
d = {}
for i in set(array):
    for j in filter(lambda x: x == i, array):
        if i not in d:
            d[i] = [function(j)]
        else:
            d[i].append(function(j))","[(1.2, 63)]",True,
"import functools
d = functools.reduce(lambda a, b: a.update({b: []}) or a, array, {})
for i in array:
    d[i].append(function(i))","[(1.2, 10)]",True,
"from collections import defaultdict
d = defaultdict(list)
for i in set(array):
    for x in array:
        if x == i:
            d[i].append(function(x))","[(0.9, 79)]",True,
