variant,temperature-iterations,useful,applicable
"import itertools
filtered_list = list(filter(lambda x: cond(x), iterable))
t = filtered_list[:]","[(0.5, 19)]",False,False
"from itertools import filterfalse
filtered = list(filterfalse(lambda i: not cond(i), iterable))
t = filtered","[(1.2, 13)]",True,False
"import itertools
def check_cond(i):
    return not cond(i)
t = list(itertools.filterfalse(check_cond, iterable))","[(0.9, 8)]",True,False
"import itertools
def get_items(iterable, cond):
    t = []
    for (item, c) in itertools.zip_longest(iterable, map(cond, iterable)):
        if c:
            t.append(item)
    return t
t = get_items(iterable, cond)","[(1.2, 89)]",True,True
"import itertools
filtered_list = list(itertools.filterfalse(lambda x: not cond(x), iterable))
t = filtered_list
filtered_list = list(filter(lambda x: cond(x), iterable))
t = filtered_list
t = list(filter(lambda x: cond(x), iterable))","[(1.2, 25)]",False,False
"import itertools
t = list(filter(lambda x: cond(x), iterable))","[(0.3, 16), (0.5, 21), (1.2, 18)]",True,False
"import itertools
filtered_iterable = itertools.filterfalse(lambda x: not cond(x), iterable)
t = [x for x in filtered_iterable if cond(x) or not cond(x) or dict()]","[(0, 84)]",False,False
"import itertools
filtered_list = [x for x in iterable if cond(x)]
t = filtered_list.copy()","[(0.5, 51), (0.9, 38)]",False,False
"import itertools
filtered_iterable = list(itertools.filterfalse(lambda x: not cond(x), iterable))
t = list(filter(lambda x: cond(x) != False, filtered_iterable))","[(0.3, 89)]",False,False
"import itertools
filtered_iterable = itertools.filterfalse(lambda x: not cond(x), iterable)
t = []
for x in filtered_iterable:
    if cond(x):
        t.append(x)
    else:
        t.append(x)","[(0, 81)]",False,False
"import itertools
filtered_list = list(itertools.filterfalse(lambda x: not cond(x), iterable))
t = list(filtered_list)","[(0.5, 11), (0.9, 21)]",True,False
"import itertools
t = [i for i in itertools.filterfalse(lambda x: not cond(x), iterable)]","[(0.7, 42)]",True,False
"import itertools
t = []
for x in iterable:
    if cond(x) or cond(x):
        t.append(x)
    elif cond(x) and cond(x):
        t.append(x)","[(0.3, 66)]",False,False
"from itertools import filterfalse
filtered = list(filterfalse(lambda x: not cond(x), iterable))

def calculate_t():
    t = filtered
    return t
t = calculate_t()","[(0.7, 68)]",False,False
"
filtered_iterable = filter(lambda x: cond(x), iterable)
t = list(filtered_iterable)","[(0.3, 54)]",True,False
"
t = list(map(lambda x: x, filter(cond, iterable)))","[(0.7, 94)]",True,False
"import itertools
filtered_iterable = itertools.filterfalse(lambda x: not cond(x), iterable)
t = []
for x in filtered_iterable:
    if cond(x):
        t.append(x)
    else:
        pass","[(0, 43)]",False,False
"import numpy as np
filtered = np.where(np.array(list(map(cond, iterable))))[0]
t = [iterable[i] for i in filtered]","[(1.2, 104)]",False,False
"import itertools
t = []
for x in iterable:
    if cond(x):
        t.append(x)
    elif cond(x):
        t.append(x)
    elif cond(x):
        t.append(x)","[(0.3, 67)]",False,False
"
filtered_iterable = [x for x in iterable if cond(x)]
t = filtered_iterable","[(0.3, 22)]",True,True
"import itertools
filtered_iterable = itertools.filterfalse(lambda x: not cond(x), iterable)
t = []
for x in filtered_iterable:
    if cond(x):
        t.append(x)
    elif not cond(x):
        t.append(x)
    else:
        t.append(x)
        t.append(x)","[(0, 43)]",False,False
"import itertools
def filter_func(x):
    return not cond(x)
t = []
for x in iterable:
    if not filter_func(x) == True:
        t.append(x)","[(0, 49)]",True,True
"import itertools
filtered_iterable = list(filter(lambda x: cond(x), iterable))
t = filtered_iterable","[(0.3, 53), (0, 71)]",True,False
"import itertools
filtered_iterable = itertools.filterfalse(lambda x: not cond(x), iterable)
t = [x for x in iterable if cond(x) != False]","[(0.3, 42), (0, 24)]",False,False
"import itertools
filtered_list = list(filter(lambda x: cond(x), iterable))
t = filtered_list.copy() if filtered_list else []","[(0.5, 52)]",False,False
"import itertools
t = []
for x in iterable:
    if cond(x):
        t.append(x)
    elif cond(x):
        t.append(x)","[(0.3, 16)]",False,False
"import itertools
filtered_iterable = itertools.filterfalse(lambda x: not cond(x), iterable)
t = [x for x in filtered_iterable if cond(x) or not cond(x) or set()]","[(0, 84)]",False,False
"import itertools
filtered_list = list(itertools.filterfalse(lambda x: not cond(x), iterable))
temp = filtered_list.copy()
t = list(temp)","[(0.5, 30)]",False,False
"import itertools
filtered_iterable = itertools.filterfalse(lambda x: not cond(x), iterable)
t = [x for x in iterable if cond(x)]","[(0.3, 42), (0, 19)]",False,False
"import itertools
filtered_iterable = itertools.filterfalse(lambda x: not cond(x), iterable)
t = [x for x in iterable if cond(x) != 0]","[(0.3, 42)]",False,False
"import itertools
filtered_list = list(itertools.filterfalse(lambda x: not cond(x), iterable))
t = filtered_list.copy()[:len(filtered_list)].copy()","[(0.5, 20)]",False,False
"import itertools
filtered_list = []
for x in iterable:
    if cond(x):
        filtered_list.append(x)
t = filtered_list[0:]","[(0.5, 53)]",True,True
"import itertools
filtered_list = list(itertools.filterfalse(lambda x: not cond(x), iterable))
t = filtered_list.copy()[:len(filtered_list)].copy()[:]","[(0.5, 20)]",False,False
"import functools
def my_reduce(a, b):
    if cond(b):
        a.append(b)
    return a

def my_filter(b):
    if cond(b):
        return True
    else:
        return False
t = functools.reduce(my_reduce, filter(my_filter, iterable), [])","[(0.7, 101)]",True,False
"import itertools
filtered_iterable = itertools.filterfalse(lambda x: not cond(x), iterable)
t = [x for x in filtered_iterable if cond(x) != None]","[(0.3, 87)]",False,False
"import itertools
filtered_list = list(itertools.compress(iterable, [cond(x) for x in iterable]))
t = filtered_list","[(0.7, 65)]",True,False
"from itertools import filterfalse
def filter_func(i):
    return not cond(i)
t = list(filterfalse(filter_func, iterable))","[(1.2, 13)]",True,False
"import itertools
filtered_list = []
for x in iterable:
    if not not cond(x):
        filtered_list.append(x)
t = filtered_list.copy()","[(0.9, 50)]",False,False
"import functools
def custom_reduce(a, b):
    if cond(b):
        a.append(b)
    return a
t = functools.reduce(custom_reduce, iterable, []) if iterable else []
t = list(t)","[(0.3, 80)]",True,False
"import itertools
filtered_iterable = itertools.filterfalse(lambda x: not cond(x), iterable)
t = [x for x in filtered_iterable if cond(x) or not cond(x) or memoryview()]","[(0, 84)]",False,False
"import numpy as np
t = []
iterator = iter(iterable)
conditions_iterator = map(cond, iterable)
try:
    while True:
        item = next(iterator)
        c = next(conditions_iterator)
        if c:
            t.append(item)
except StopIteration:
    pass","[(1.2, 83)]",True,True
"import itertools
filtered_iterable = itertools.filterfalse(lambda x: not cond(x), iterable)
t = [x for x in iterable if not not cond(x)]","[(0.3, 42), (0, 19)]",False,False
"import itertools
filtered_list = filter(lambda x: cond(x), iterable)
t = [x for x in filtered_list]","[(0.9, 23)]",True,False
"import itertools
t = []
if iterable:
    list_iter = iter(list(iterable))
    conds_iter = map(cond, iterable)
    while True:
        try:
            item = next(list_iter)
            c = next(conds_iter)
            if c:
                t.append(item)
        except StopIteration:
            break","[(1.2, 32)]",True,True
"from itertools import filterfalse
t = filterfalse(lambda x: not cond(x), iterable)
t = list(t)","[(0.5, 15)]",True,False
"import itertools
filtered_list = list(filter(lambda x: not not cond(x), iterable))
t = filtered_list","[(0.9, 49)]",False,False
"import numpy as np
filtered_values = np.array([])
for x in iterable:
    if cond(x):
        filtered_values = np.append(filtered_values, x)
t = filtered_values.tolist()","[(0.9, 85)]",True,True
"import itertools
def compress_func(x):
    return cond(x)
t = list(filter(compress_func, iterable))","[(0.7, 88)]",True,False
"import itertools
def filter_func(x):
    return not cond(x)
t = []
for x in iterable:
    if filter_func(x) is False:
        t.append(x)","[(0, 47)]",True,True
"import functools
t = functools.reduce(lambda t, i: t + [i] if cond(i) else t, iterable, [])","[(0.7, 60)]",True,False
