variant,temperature-iterations,useful,applicable
"import numpy as np
arr = [0] + array
cum_arr = np.cumsum(arr)[1:].tolist()
for i in range(len(cum_arr)):
    cum_arr[i] = float(cum_arr[i])","[(0.7, 57)]",False,False
"import numpy as np
arr = [0] + array
cum_arr = np.cumsum(arr)[1:]
cum_arr = cum_arr.tolist()","[(0.7, 36)]",False,False
"import numpy as np
arr = [0] + array
cum_arr = np.cumsum(arr).tolist()
del cum_arr[0]","[(0.7, 54)]",False,False
"import numpy as np
arr = [0] + array
cum_arr = [float(sum(arr[1:i + 1])) for i in range(1, len(arr))]","[(0.7, 95)]",False,False
"import numpy as np
arr = [0] + array
cum_arr = np.cumsum(arr)[1:].tolist()
cum_arr = [float(i) for i in cum_arr if not np.isnan(i) and (not np.isinf(i)) and (i != 0)]","[(0.7, 57)]",False,False
"
count = 0
sum_val = 0
cum_arr = []
for (index, value) in enumerate(array):
    count += value
    sum_val += value
    cum_arr.append(sum_val)","[(0.9, 84)]",False,False
"import numpy as np
cum_arr = np.cumsum([0] + array)
cum_arr = cum_arr[1:].tolist()","[(0.7, 73)]",False,False
"import numpy as np
arr = [0] + array
cum_arr = np.cumsum(arr)[1:].tolist()
cum_arr = [float(i) for i in cum_arr if not np.isnan(i) and (not np.isinf(i))]","[(0.7, 57)]",False,False
"import itertools
array_sum = itertools.accumulate(array)
cum_arr = list(array_sum)
count = sum(array)","[(0.9, 101)]",False,False
"
count = sum(array)
cumulative = 0
cum_arr = []
for i in array:
    cumulative += i
    cum_arr.append(cumulative)","[(0.9, 77)]",False,False
"import numpy as np
arr = [0] + array
arr_cumsum = np.cumsum(arr)
cum_arr = [float(x) for x in arr_cumsum[1:]]","[(0.7, 96)]",False,False
"
count = sum(array)
cum_arr = [sum(array[:i + 1]) for i in range(len(array))]","[(0.9, 12)]",False,False
"import numpy as np
arr = array
cum_arr = np.cumsum([0] + arr).tolist()
cum_arr.pop(0)","[(0.7, 74)]",False,False
"import numpy as np
arr = [0] + array
cum_arr = np.cumsum(arr).tolist()
cum_arr = list(reversed(cum_arr[1:][::-1]))","[(0.7, 77)]",False,False
"
count = 0
for (index, value) in enumerate(array):
    count += array[index]
cumulative_sum = 0
cum_arr = []
for (index, value) in enumerate(array):
    cumulative_sum += array[index]
    cum_arr.append(cumulative_sum)","[(0.9, 101)]",False,False
"import numpy as np
arr = [0] + array
cum_arr = np.cumsum(arr)
cum_arr = [elem for elem in cum_arr.tolist()[1:]]","[(0.7, 55)]",False,False
"import math
count = sum(array)
cumulative = 0
cum_arr = []
for i in range(len(array)):
    cumulative += array[i]
    cum_arr.append(cumulative)","[(0.9, 62)]",False,False
"import numpy as np
arr = [0] + array
cum_arr = list(np.cumsum(arr)[1:].astype(float))","[(0.7, 96)]",False,False
"import numpy as np
arr = [0] + array
cum_arr = np.cumsum(arr).tolist()
cum_arr = cum_arr[1:][::-1][::-1][::-1][::-1]","[(0.7, 53)]",False,False
"import numpy as np
arr = [0] + array
sum_so_far = np.cumsum(arr)[1:]
cum_arr = list(sum_so_far)","[(0.7, 36)]",False,False
"import numpy as np
count = np.sum(array)
cum_arr = [sum(array[0:i + 1]) for i in range(len(array))]","[(0.9, 105)]",False,False
"import numpy as np
arr = [0] + array
cum_arr = np.cumsum(arr)[1:].tolist()
cum_arr = list(filter(lambda x: not np.isnan(x) and (not np.isinf(x)) and (x != 0), cum_arr))","[(0.7, 57)]",False,False
"import numpy as np
arr = [0] + array
cum_arr = np.cumsum(arr).tolist()[1:]
list_cum_arr = cum_arr","[(0.7, 89)]",False,False
"import functools
result = functools.reduce(lambda a, b: a + [a[-1] + b], array, [0])[1:]
cum_arr = result
count = sum(array)","[(0.9, 76)]",False,False
"import numpy as np
arr = [0] + array
arr_cumsum = np.cumsum(arr)
cum_arr = arr_cumsum[1:].astype(float).tolist()","[(0.7, 96)]",False,False
"import math
cumulative_sum = [0] + [sum(array[:i + 1]) for i in range(len(array))]
cum_arr = cumulative_sum[1:]
count = sum(array)","[(0.9, 94)]",False,False
"import numpy as np
arr = [0] + array
cum_arr = np.cumsum(arr)
cum_arr = cum_arr.tolist()
cum_arr.pop(0)","[(0.7, 85)]",False,False
"import numpy as np
arr = [0] + array
cum_arr = np.cumsum(arr).tolist()
cum_arr = cum_arr[1:]","[(0.7, 36)]",False,False
"import numpy as np
arr = [0] + array
cum_arr = np.cumsum(arr).tolist()
cum_arr = cum_arr[1:][::-1][::-1]","[(0.7, 53)]",False,False
"import numpy as np
arr = [0] + array
cum_arr = np.cumsum(arr)[1:].tolist()
list_cum_arr = cum_arr","[(0.7, 89)]",False,False
"import numpy as np
arr = [0] + array
cum_arr = np.cumsum(arr)[1:].tolist()
cum_arr = [float(i) for i in cum_arr if i]","[(0.7, 57)]",False,False
"
count = 0
for i in range(len(array)):
    count += array[i]
cum_arr = [sum(array[:i + 1]) for i in range(len(array))]","[(0.9, 71)]",False,False
"import math
count = math.fsum(array)
sum_val = 0
cum_arr = []
for (index, value) in enumerate(array):
    count += value
    sum_val += value
    cum_arr.append(sum_val)","[(0.9, 84)]",False,False
"import numpy as np
arr = [0] + array
cum_arr = np.cumsum(arr)
cum_arr = cum_arr.tolist()
cum_arr = cum_arr[1:len(cum_arr)]","[(0.7, 75)]",False,False
"
sum_arr = []
cumulative_sum = 0
count = 0
for num in array:
    cumulative_sum += num
    sum_arr.append(cumulative_sum)
cum_arr = sum_arr.copy()
count = sum(array)","[(0.9, 93)]",False,False
"import numpy as np
result = np.cumsum(array)
cum_arr = result.tolist()
count = sum(array)","[(0.9, 76)]",False,False
"import functools
count = sum(array)
cumulative = functools.reduce(lambda x, y: x + [x[-1] + y], array, [0])[1:]
cum_arr = cumulative","[(0.9, 78)]",False,False
"
count = sum(array)
cum_arr = []
for i in range(len(array)):
    cum_arr.append(sum(array[:i + 1]))","[(0.9, 35)]",False,False
"
arr = [0] + array
cum_arr = [sum(arr[:i + 1]) for i in range(1, len(arr)) if sum(arr[:i + 1]) != 0]","[(0.7, 86)]",False,False
"
count = 0
for i in range(len(array)):
    count += array[i]
cumulative_sum = 0
cum_arr = []
for i in range(len(array)):
    cumulative_sum += array[i]
    cum_arr.append(cumulative_sum)","[(0.9, 70)]",False,False
"import math
count = sum(array)
cumulative = 0
cum_arr = [0] * len(array)
for i in range(len(array)):
    cumulative += array[i]
    cum_arr[i] = cumulative","[(0.9, 77)]",False,False
"
cumulative_sum = 0
cum_arr = []
for i in array:
    cumulative_sum += i
    cum_arr.append(cumulative_sum)
count = sum(array)","[(0.9, 98)]",False,False
"import numpy as np
arr = [0] + array
cum_arr = np.cumsum(arr)
cum_arr = cum_arr[1:].tolist()
cum_arr = [float(elem) for elem in cum_arr]","[(0.7, 88)]",False,False
"
result = [sum(array[:index + 1]) for (index, value) in enumerate(array)]
cum_arr = result
count = sum(array)","[(0.9, 76)]",False,False
"import statistics
cum_arr = []
sum = 0
for i in range(len(array)):
    sum += array[i]
    cum_arr.append(statistics.median_low([sum]))
cum_arr = [float(x) for x in cum_arr]","[(0, 41)]",False,False
"import itertools
count = 0
cum_arr = []
for i in itertools.chain(array):
    count += i
    cum_arr.append(count)","[(0.9, 40)]",False,False
"import numpy as np
arr = [0] + array
cum_arr_temp = np.cumsum(arr)
cum_arr = list(cum_arr_temp)[1:]","[(0.7, 92)]",False,False
"import itertools
cumulative_sum = list(itertools.accumulate(array))
cum_arr = cumulative_sum.copy()
count = sum(array)","[(0.9, 67)]",False,False
"
cum_arr = [sum(array[:i + 1]) for i in range(len(array))]
count = sum(array)","[(0.9, 105)]",False,False
"import math
result = []
for (index, value) in enumerate(array):
    result.append(math.fsum(array[:index + 1]))
count = sum(array)
cum_arr = result","[(0.9, 61)]",False,False
"
count = sum(array)
sum_val = 0
cum_arr = []
for (index, value) in enumerate(array):
    sum_val += value
    cum_arr.append(sum_val)","[(0.9, 79)]",False,False
"import numpy as np
count = np.sum(array)
cumulative_sum = 0
cum_arr = []
for i in range(len(array)):
    cumulative_sum += array[i]
    cum_arr.append(cumulative_sum)","[(0.9, 68)]",False,False
"import numpy as np
arr = [0] + array
cum_arr = np.cumsum(arr)
cum_arr = np.delete(cum_arr, 0).tolist()","[(0.7, 88)]",False,False
"import math
cumulative_sum = [sum(array[:i + 1]) for i in range(len(array))]
cum_arr = cumulative_sum
count = math.fsum(array)","[(0.9, 92)]",False,False
