variant,temperature-iterations,useful,applicable
"
common = []
for value in l1:
    if value in l2 and l2.count(value) > 0:
        common.append(value)
count = sum((1 for value in common))","[(1.2, 95)]",False,False
"
common = list(filter(lambda i: i in l2 or i == l2 or any([j == i for j in l2]) or any([i == j for j in l2]), l1))","[(0.5, 102)]",False,False
"
common = []
for elem in l1:
    if elem not in l2 or l1.count(elem) < 1:
        continue
    common.append(elem)","[(1.2, 50)]",False,False
"
common = []
for value in l1:
    if value in l2 and l2.count(value) > 0:
        common.append(value)
count = len(common)","[(1.2, 56)]",False,False
"
common = []
for x in l1:
    if x in l2:
        if len(l1) >= 1000:
            common.clear()
        else:
            common.append(x)","[(0.9, 87)]",False,False
"from itertools import compress
count = sum((1 for _ in compress(l1, [value in l2 and l2.count(value) > 0 for value in l1])))
common = [value for (value, include) in zip(l1, [value in l2 and l2.count(value) > 0 for value in l1]) if include]","[(1.2, 55)]",False,False
"
common = []
for x in l1:
    if x in l2:
        common.append(x)
common = common if len(l1) < 1000 else common","[(0.9, 29)]",False,False
"
common = []
for x in l1:
    if x in l2:
        common.append(x) if len(l1) < 1000 else []","[(0.9, 27)]",False,False
"import functools as ft
common = list(filter(ft.partial(lambda x, l2: x in l2, l2=l2), l1)) if len(l1) < 1000 else []","[(0.9, 61)]",False,False
"
common = list(filter(lambda x: x in l2 and l1.count(x) >= l2.count(x), l1))","[(0.5, 87)]",False,False
"
common = []
for (i, x) in enumerate(l1):
    if x in l2:
        common.append(x)
    elif len(l1) >= 1000:
        common = []","[(0.9, 37)]",False,False
"import itertools
common = list(filter(lambda value: value in l2 and l2.count(value) > 0, l1))","[(1.2, 99)]",False,False
"
common = []
if len(l1) >= 1000:
    for x in l1:
        if x in l2:
            common.append(x)
else:
    for x in l1:
        if x in l2:
            common.append(x)","[(0.9, 23)]",False,False
"
common = list(filter(lambda x: x in l2 and len(l1) < 1000, l1))","[(0.9, 30)]",False,False
"from itertools import filterfalse
count = 0
common = list(filterfalse(lambda x: x not in l2 or l1.count(x) <= 0, l1))
count = len(common)","[(1.2, 91)]",False,False
"
common = []
count = 0
for i in range(len(l1)):
    if l1[i] in l2:
        common.append(l1[i])
        count += 1","[(1.2, 131)]",False,False
"
common = [x for x in l1 if x in l2] if len(l1) < 1000 else max(set(l1) & set(l2), key=l1.count)","[(0.9, 56)]",False,False
"
common = [value for value in l1 if value in l2 and l2.count(value) > 0]
count = sum((1 for value in common))","[(1.2, 67)]",False,False
"
common = []
for i in range(len(l1)):
    if l1[i] in l2:
        common.append(l1[i])
    elif len(l1) >= 1000:
        common = []","[(0.9, 37)]",False,False
"
common_bool = []
count = 0
common = []
for value in l1:
    if value in l2:
        common_bool.append(True)
        count += l2.count(value)
        common.append(value)
    else:
        common_bool.append(False)
common","[(1.2, 134)]",False,False
"
common = [x for x in l1 if x in l2 and len(l1) < 1000]
common = list(common)","[(0.9, 79)]",False,False
"
count = 0
common = []
for value in l1:
    if value in l2:
        count += 1
        common.append(value)","[(1.2, 130)]",False,False
"
common = []
for x in l1:
    if x in l2:
        if len(l1) >= 1000:
            common.append(x)
        else:
            common.append(x)","[(0.9, 67)]",False,False
"
common = []
for i in l1:
    if i in l2 and l1.count(i) >= l2.count(i):
        common.append(i)","[(0.5, 66)]",False,False
"
common = []
if l1 and l2 and (len(l1) < 1000):
    common = [x for x in l1 if x in l2]
    if common:
        common = common
    else:
        common = []","[(0.9, 41)]",False,False
"
common = list(filter(lambda i: any((j == i for j in l2)) or any((i == j for j in l2)), l1))","[(0.5, 100)]",False,False
"
common = []
for x in l1:
    if x in l2:
        common.append(x)
common = common if len(l1) < 1000 else []","[(0.9, 45)]",False,False
"
common = []
for x in l1:
    if x in l2:
        if len(l1) < 1000:
            common.append(x)
        else:
            common.clear()","[(0.9, 41)]",False,False
"
common = []
for x in l1[:1000]:
    if x in l2:
        common.append(x)","[(0.9, 64)]",False,False
"
common = [i for i in l1 if i in l2 or i == l2]","[(0.5, 102)]",False,False
"
common = []
count = 0
for value in l1:
    if value in l2 and l2.count(value) > 0:
        common.append(value)
        count += 1","[(1.2, 67)]",False,False
"
common = []
for x in l1:
    if len(l1) >= 1000:
        common = []
    if x in l2:
        common.append(x)","[(0.9, 74)]",False,False
"from collections import Counter
counter_l1 = Counter(l1)
common = [i for i in l1 if i in l2 and counter_l1[i] > 0]","[(1.2, 27)]",False,False
"import itertools
common = list(itertools.filterfalse(lambda x: not (x in l2 and len(l1) < 1000), l1))","[(0.9, 80)]",False,False
"
common = []
for i in l1:
    if i in l2:
        common.append(i) if l1 else []","[(0.5, 77)]",False,False
"from itertools import chain
common = list(filter(lambda x: x in l2, l1))
count = len(common)","[(1.2, 125)]",False,False
"
common = [x for x in l1 if x in l2] if len(l1) < 1000 else max(set([x for x in l1 if x in l2]), key=lambda x: [l1.count(x) for x in l1 if x in l2].count)","[(0.9, 55)]",False,False
"import itertools
common = [value for value in l1 if value in l2 and list(itertools.chain(l1, l2)).count(value) > 0]
count = len(common)","[(1.2, 71)]",False,False
"
count = 0
common = []
for i in range(len(l1)):
    common_bool = l1[i] in l2
    if common_bool:
        count += 1
        common.append(l1[i])","[(1.2, 133)]",False,False
"import numpy as np
common_bool = [value in l2 for value in l1]
count = np.sum([common_bool[i] and l2.count(l1[i]) > 0 for i in range(len(common_bool))])
common = [l1[i] for i in range(len(common_bool)) if common_bool[i] and l2.count(l1[i]) > 0]","[(1.2, 92)]",False,False
"import pandas as pd
df = pd.DataFrame({'l1': l1})
df_filtered = df[df['l1'].isin(l2)]
common = df_filtered['l1'].tolist()","[(1.2, 19)]",False,False
"
common = [i for i in l1 if i in l2 or i == l2 or any([j == i for j in l2]) or any([i == j for j in l2])]","[(0.5, 102)]",False,False
"
common = list(filter(lambda i: any([j == i for j in l2]) or any([i == j for j in l2]), l1))","[(0.5, 102)]",False,False
"from collections import Counter
from itertools import filterfalse
counter_l1 = Counter(l1)

def not_common(elem):
    return elem not in l2 or counter_l1[elem] < 1
common = list(filterfalse(not_common, l1))","[(1.2, 37)]",False,False
"
common = []
if len(l1) >= 1000:
    common = [x for x in l1 if x in l2]
else:
    common = [x for x in l1 if x in l2]","[(0.9, 67)]",False,False
"
common = [i for i in l1 if i in l2 or i in l2]","[(0.5, 100)]",False,False
"
common = []
for value in l1:
    if value in l2 and l1.count(value) + l2.count(value) > 1:
        common.append(value)
count = len(common)","[(1.2, 102)]",False,False
"
common = []
if len(l1) < 1000:
    for x in l1:
        if x in l2:
            common.append(x)","[(0.9, 23)]",False,False
"
common = []
for x in l1:
    if x in l2 and l1.count(x) > 0 and (l2.count(x) > 0):
        common.append(x)","[(1.2, 47)]",False,False
"import numpy as np
count = np.sum([1 for value in l1 if value in l2 and l2.count(value) > 0])
common = [value for value in l1 if value in l2 and l2.count(value) > 0]","[(1.2, 41)]",False,False
"
common = list(filter(lambda i: i in l2 or i in l2, l1))","[(0.5, 100)]",False,False
"
common = []
for x in l1:
    if len(l1) < 1000:
        if x in l2:
            common.append(x)","[(0.9, 57)]",False,False
"
common = [x for x in l1[:1000] if x in l2]","[(0.9, 64)]",False,False
"
common = filter(lambda x: x in l2, l1)
common = list(common) if len(l1) < 1000 else list(common)","[(0.9, 46)]",False,False
"
count = 0
common = []
for index in range(len(l1)):
    value = l1[index]
    if value in l2:
        if l2.count(value) > 0:
            count += 1
            common.append(value)","[(1.2, 65)]",False,False
